goals;yellowCards;redCards;groundDuelsWon;groundDuelsWonPercentage;aerialDuelsWon;aerialDuelsWonPercentage;successfulDribbles;successfulDribblesPercentage;tackles;assists;accuratePassesPercentage;totalDuelsWon;totalDuelsWonPercentage;minutesPlayed;wasFouled;fouls;dispossessed;appearances;saves;savedShotsFromInsideTheBox;savedShotsFromOutsideTheBox;goalsConcededInsideTheBox;goalsConcededOutsideTheBox;highClaims;successfulRunsOut;punches;runsOut;accurateFinalThirdPasses;bigChancesCreated;accuratePasses;keyPasses;accurateCrosses;accurateCrossesPercentage;accurateLongBalls;accurateLongBallsPercentage;interceptions;clearances;dribbledPast;bigChancesMissed;totalShots;shotsOnTarget;blockedShots;goalConversionPercentage;hitWoodwork;offsides;expectedGoals;errorLeadToGoal;errorLeadToShot;passToAssist;player;team
0.0;0.23;0.0;2.14;63.64;1.0;54.17;0.08;100.0;1.91;0.0;84.96;3.14;60.29;90;0.15;0.46;0.0;1.15;0.0;0.0;0.0;0.77;0.0;0.0;0.0;0.0;0.0;3.22;0.0;34.62;0.23;0.0;0.0;4.44;59.79;1.38;2.53;0.77;0.0;0.23;0.08;0.0;0.0;0.0;0.08;0.0;0.0;0.0;0.0;Sebastián Silva;Cobresal
0.04;0.17;0.0;2.96;50.36;0.69;47.06;0.26;33.33;1.41;0.13;82.41;3.64;49.71;90;1.29;0.77;0.69;1.16;0.0;0.0;0.0;1.41;0.21;0.0;0.0;0.0;0.0;11.83;0.34;47.59;1.8;1.67;36.45;7.29;69.67;0.99;1.03;0.94;0.04;1.29;0.34;0.39;3.33;0.0;0.0;0.0;0.0;0.0;0.0;Tomás Aránguiz;Deportes Magallanes
0.69;0.1;0.0;1.18;30.0;4.02;50.0;0.1;25.0;0.1;0.1;61.07;5.2;43.44;90;0.98;1.28;0.98;1.18;0.0;0.0;0.0;1.08;0.29;0.0;0.0;0.0;0.0;5.5;0.29;14.62;1.18;0.2;100.0;0.69;50.0;0.0;0.69;0.29;0.29;2.06;1.18;0.29;33.33;0.0;0.29;0.0;0.0;0.0;0.0;Joaquín Larrivey;Deportes Magallanes
0.18;0.0;0.0;5.65;60.38;0.71;44.44;1.06;75.0;3.88;0.18;77.48;6.35;58.06;90;0.71;1.24;0.35;1.06;0.0;0.0;0.0;1.24;0.0;0.0;0.0;0.0;0.0;9.71;0.35;30.35;0.88;0.71;30.77;2.47;58.33;0.71;1.76;1.76;0.0;0.71;0.35;0.0;25.0;0.0;0.18;0.0;0.0;0.0;0.0;Stefano Magnasco;Unión Española
0.15;0.2;0.0;4.72;48.45;0.65;48.15;1.26;50.0;2.21;0.15;75.16;5.37;48.42;90;1.26;1.21;1.51;1.36;0.0;0.0;0.0;1.16;0.05;0.0;0.0;0.0;0.0;10.7;0.2;28.73;2.06;1.91;30.89;3.72;61.16;0.75;0.9;1.05;0.05;2.16;0.8;0.3;6.98;0.05;0.05;0.0;0.0;0.0;0.0;Matías Sepúlveda;Audax Italiano
0.11;0.33;0.11;3.21;54.72;0.66;40.0;0.77;63.64;2.1;0.33;75.2;3.87;51.47;90;0.33;1.0;0.44;1.11;0.0;0.0;0.0;1.11;0.11;0.0;0.0;0.0;0.0;14.83;0.0;40.96;1.99;0.66;26.09;4.1;51.39;0.66;1.88;0.77;0.0;0.55;0.22;0.0;20.0;0.0;0.22;;0.0;0.0;0.11;Mauricio Isla;Universidad Católica
0.49;0.08;0.04;3.32;49.16;0.53;35.9;1.36;52.94;0.57;0.15;78.22;3.84;46.79;90;1.39;0.34;1.58;1.02;0.0;0.0;0.0;1.36;0.11;0.0;0.0;0.0;0.0;6.93;0.11;23.14;1.06;0.38;35.71;1.28;60.71;0.38;0.57;0.3;0.15;2.34;1.24;0.34;20.97;0.08;0.3;0.0;0.0;0.0;0.0;Alexander Aravena;Universidad Católica
1.44;0.0;0.0;2.88;44.44;0.0;0.0;0.72;33.33;1.44;0.0;86.67;2.88;40.0;90;0.72;0.0;1.44;2.16;0.0;0.0;0.0;2.16;0.72;0.0;0.0;0.0;0.0;6.48;0.0;9.36;1.44;0.0;0.0;0.72;100.0;0.0;0.0;0.72;0.72;2.16;2.16;0.0;66.67;0.0;0.0;0.0;0.0;0.0;0.0;Ignacio Fuenzalida;Audax Italiano
0.49;0.39;0.0;2.83;47.54;0.98;30.3;0.59;46.15;0.59;0.1;71.25;3.81;41.49;90;1.66;1.37;1.17;1.37;0.0;0.0;0.0;1.46;0.0;0.0;0.0;0.0;0.0;6.15;0.1;11.13;1.37;0.29;18.75;0.2;40.0;0.1;0.29;0.0;0.1;3.12;1.37;0.49;15.63;0.29;0.2;0.0;0.0;0.0;0.0;Brian Blando;O'Higgins
0.44;0.17;0.0;5.75;54.55;0.44;33.33;1.74;57.14;0.61;0.17;81.72;6.19;52.21;90;3.4;1.22;1.92;1.83;0.0;0.0;0.0;0.96;0.09;0.0;0.0;0.0;0.0;11.24;0.26;32.32;1.74;1.31;36.59;3.83;67.69;0.26;0.26;0.52;0.0;2.35;0.96;0.35;18.52;0.09;0.0;0.0;0.0;0.0;0.0;Joe Abrigo;Palestino
0.51;0.13;0.0;1.83;39.81;2.34;42.64;0.42;38.46;0.64;0.17;62.46;4.16;41.35;90;0.76;0.98;0.85;1.19;0.0;0.0;0.0;1.02;0.13;0.0;0.0;0.0;0.0;6.84;0.17;16.18;1.57;0.04;6.25;0.89;42.0;0.08;1.06;0.38;0.47;3.19;1.36;0.3;16.0;0.13;0.25;;0.0;0.0;0.0;Sebastián Sáez;Everton de Viña del Mar
0.0;0.13;0.0;7.19;69.14;1.54;57.14;1.8;70.0;4.75;0.13;64.71;8.73;66.67;90;0.64;0.51;1.28;1.03;0.0;0.0;0.0;0.9;0.13;0.0;0.0;0.0;0.0;5.01;0.0;21.18;0.77;0.26;25.0;2.18;32.69;1.28;1.93;0.64;0.0;0.64;0.13;0.13;0.0;0.0;0.0;;0.0;0.0;0.0;José Ignacio Castro;Universidad de Chile
